01XS,H1,,,
02AK,15,,33,
02AL,18,,36,
02AR,7,,25,
02AZ,17,,35,
02CA,H1,,,
02CD,15,,33,
02CL,16,,34,
02CO,17,,35,
02CT,H1,,,
02FA,18,,36,
02FD,1,,19,
02FL,12,,30,
02GA,8,,26,
02GA,13,,31,
02GE,9,,27,
02HI,H1,,,
02IA,H1,,,
02ID,NE,,SW,
02II,10,,28,
02IN,9,,27,
02IS,H1,,,
02KS,11,,29,
02KS,18,,36,
02KY,H1,,,
02LA,H1,,,
02LS,H1,,,
02MA,H1,,,
02ME,14,,32,
02MI,9,,27,
02MN,3,,21,
02MN,12,,30,
02MN,13,,31,
02MO,8,,26,
02MS,12,,30,
02MU,N,,S,
02NC,H1,,,
02NH,18W,,36W,
02NH,H1,,,
02NV,9,,27,
02NY,H1,,,
02OH,9,,27,
02OI,E,,W,
02OR,E,,W,
02P,H1,,,
02PA,H1,,,
02PN,H1,,,
02PR,6,,24,
02PS,1,,19,
02SC,4,,22,
02T,2,,20,
02TA,H1,,,
02TE,H1,,,
02TN,11,,29,
02TX,17,,35,
02UT,7,,25,
02UT,16,,34,
02VA,18,,36,
02WA,16,,34,
02WI,18,,36,
02WN,13,,31,
02XA,18,,36,
02XS,2,,20,
02XS,11,,29,
03AK,7,,25,
03AK,N,,S,
03AK,NE,,SW,
03AL,H1,,,
03AR,H1,,,
03AZ,E,,W,
03CA,H1,,,
03CO,13,140,31,
03FA,E,,W,
03FD,9,,27,
03FL,H1,,,
03GA,10,,28,
03GA,11,,29,
03I,13,58,31,238
03IA,N,,S,
03ID,11,,29,
03II,N,,S,
03IL,18,,36,
03IS,H1,,,
03KS,H1,,,
03KY,3,,21,
03LA,H1,,,
03LS,H1,,,
03M,2,,20,
03MA,12,,30,
03MD,H1,,,
03ME,18,,36,
03MI,H1,,,
03MN,17,,35,
03MO,15,,33,
03MS,H1,,,
03MU,17,,35,
03N,7,,25,
03NC,9,,27,
03ND,17,,35,
03NE,1,,19,
03NH,H1,,,
03NV,18,,36,
03NY,16,,34,
03OH,N,,S,
03OH,NE,,SW,
03OI,H1,,,
03OK,18,,36,
03OL,18,,36,
03OR,7,,25,
03PA,H1,,,
03PN,H1,,,
03PR,9,,27,
03PS,14,,32,
03PS,16,,34,
03PS,18,,36,
03S,8,,26,
03SC,H1,,,
03TE,12,,30,
03TN,H1,,,
03TS,H1,,,
03TT,18,,36,
03TX,H1,,,
03UT,NE,,SW,
03UT,NW,,SE,
03WA,18,,36,
03WI,N,,S,
03WN,7,,25,
03XA,H1,,,
03XS,4,,22,
03XS,15,,33,
04AA,16,,34,
04AA,5,,23,
04AL,H1,,,
04AR,H1,,,
04CA,8,91.2,26,
04CL,8,,26,
04CT,H1,,,
04F,15,,33,
04FA,9,,27,
04FL,9,,27,
04I,6,,24,
04IA,18,,36,
04ID,7,,25,
04II,18,,36,
04IL,N,,S,
04IN,13W,,31W,
04IS,9,,27,
04KS,H1,,,
04KY,15,,33,
04LA,H1,,,
04LL,9,,27,
04LS,H1,,,
04MA,16,,34,
04MD,H1,,,
04ME,15,,33,
04MI,18,,36,
04MN,10,,28,
04MO,18,,36,
04MS,17,180,35,
04MT,E,,W,
04MT,N,,S,
04NC,H1,,,
04NE,N,,S,
04NJ,8,,26,
04NR,H1,,,
04NV,2,33.5,20,
04NY,2,,20,
04OG,H1,,,
04OH,N,,S,
04OK,H1,,,
04PA,H1,,,
04PN,H1,,,
04SC,H1,,,
04SD,H1,,H1,
04TA,H1,,,
04TE,H1,,,
04TN,1,,19,
04TS,H1,,,
04TT,18,,36,
04TX,12,,30,
04UT,4,,22,
04V,10,118,28,298
04VA,H1,,,
04VG,1,,19,
04VG,11,,29,
04VT,6,,24,
04W,6,66,24,246
04WA,N,,S,
04WI,9,,27,
04WN,11,,29,336.5
04WV,H1,,,
04XS,H1,,,
05AK,1,,19,
05AL,H1,,,
05AL,H2,,,
05AL,H3,,,
05AL,H4,,,
05AL,H5,,,
05AL,H6,,,
05AR,6,,24,263
05AZ,H1,,,
05B,NW,,SE,
05CA,H1,,,
05CL,10,116,28,
05CO,18,,36,
05CT,H1,,,
05FA,8,,26,
05FD,H1,,,
05FL,9,,27,
05FL,15,,33,
05GA,18,,36,
05IA,9,,27,
05ID,3,,21,
05II,9,,27,
05IL,10,,28,
05IN,8,,26,
05IS,9,,27,
05KS,17,,35,
05KT,9,,27,
05KY,2,,20,
05LA,18,,36,
05LL,H1,,,
05LS,2,22.4,20,
05MA,H1,,,188
05MD,18,,36,
05ME,E,,W,
05MO,H1,,,
05MS,H1,,,
05NC,H1,,,
05NE,15,,33,
05NH,H1,,,
05NJ,H1,,,
05NY,H1,,,
05OG,H1,,,
05OI,9,,27,
05OK,17,,35,
05OR,11,,29,
05OR,H1,,,
05PA,H1,,,
05PN,H1,,,
05PS,6,,24,
05S,9,,27,
05TA,17,,35,
05TE,15,,33,
05TS,17,,35,
05TX,15,,33,
05UT,14,149,32,
05V,3,41,21,221
05VA,18,,36,
05VT,H1,,,
05WA,H1,,,
05WI,E,,W,
05WN,9,,27,292.2
05XS,1,,19,
05Y,17,,35,
06AK,2,,20,
06AL,H1,,,
06AL,H2,,,
06AL,H3,,,
06AL,H4,,,
06AL,H5,,,
06AL,H6,,,
06AL,H7,,,
06AR,16,,34,
06AZ,H1,,,
06B,2,,20,
06CA,H1,,,
06CL,H1,,,
06CO,17,,35,
06FA,9,90,27,270
06FD,18,,36,
06FL,H1,,,
06GA,H1,,,
06I,E,,W,
06IA,9,,27,
06ID,9,,27,
06IL,9,,27,
06IN,N,,S,
06IS,18,,36,
06KS,H1,,,
06KY,H1,,,
06LA,H1,,,
06LL,H1,,,
06LS,H1,,,
06MA,H1,,,
06MD,H1,,,
06MI,H1,,,
06MI,H2,,,
06MN,12,120.6,30,
06MO,15,156.6,33,
06MT,E,,W,
06N,8,62,26,242
06NC,9,,27,
06ND,8,,26,
06NE,H1,,,
06NH,17,,35,
06NY,15,,33,
06O1,H1,,,
06OH,9,,27,
06OI,9,,27,
06OK,H1,,,
06OR,N,,S,
06PA,8,,26,
06PN,H1,,,
06PN,H2,,,
06R,15,,33,
06SN,17,,35,
06TA,N,,S,
06TE,8,83.9,26,
06TN,5,,23,
06TT,13,,31,
06TX,1,,19,
06VA,5,,23,
06WA,H1,,,
06WN,9,,27,273.9
06XS,16,,34,
06Y,14,,32,
07AL,H1,,,
07AR,11,,29,
07B,16,,34,
07CA,H1,,,
07CL,16,,34,
07CO,2,,20,
07D,18,177,36,357
07FA,4,40,22,
07FL,H1,,,
07GA,9,,27,
07I,NE,,SW,
07ID,NW,,SE,
07II,H1,,,
07IN,N,,S,
07K,15,,33,
07KS,18,,36,
07KY,11,,29,
07LA,H1,,,
07LS,H1,,,
07MA,H1,,,
07MD,17,,35,
07ME,H1,,,
07MI,9,,27,
07MN,E,,W,
07MO,17,,35,
07MT,10,120,28,300
07N,16,,34,
07NC,8,,26,
07NH,05W,,23W,
07NH,17W,,35W,
07NJ,H1,,,
07NY,H1,,,
07OH,H1,,,
07OK,17,,35,
07OR,17,,35,
07PN,9,,27,
07PR,H1,,,
07TA,6,,24,
07TA,H1,,H1,
07TE,13,134,31,
07TN,7,,25,
07TS,17,,35,
07TX,H1,,,
07VA,16,,34,
07VT,5,,23,
07VT,14,,32,
07WA,H1,,,
07WI,9,,27,
07WY,13,,31,
07XA,H1,,-,
07XS,H1,,,
07Y,16,,34,
08AK,1,,19,
08AL,9W,,27W,
08AR,H1,,,
08AZ,H1,,,
08B,14,,32,
08CA,H1,,,
08CL,E,,W,
08CN,H1,,,334
08CO,9,,27,
08CT,1,,19,
08F,17,,35,
08FA,9,,27,
08FD,18,,36,
08FL,3,,21,
08G,H1,,,
08GA,3,,21,
08ID,NW,,SE,
08II,H1,,,
08IL,9,,27,
08IN,13W,,31W,
08IS,18,,36,
08KS,17,,35,
08KY,9,,27,
08LA,H1,,,
08LL,18,,36,
08LS,18,,36,
08MA,4,,22,
08MD,H1,,,
08ME,13,,31,
08MI,H1,,,
08MN,18,,36,
08MO,3,,21,
08MO,18,,36,
08MS,7,70,25,
08MT,7,,25,
08N,7,,25,
08NC,18,,36,190
08ND,17,,35,
08NE,11,,29,
08NH,H1,,,
08NJ,H1,,,
08NR,2,,20,
08NY,1,,19,
08NY,10,,28,
08OH,E,,W,
08OK,8,,26,
08OL,18,,36,
08OR,18,,36,
08PA,H1,,,
08PN,H1,,,
08R,11,,29,
08SD,H1,,,
08TA,H1,,,
08TE,16,166,34,
08TT,4,,22,
08TX,9,,27,
08TX,18,,36,
08U,1,,19,
08VA,9,,27,
08WA,H1,,,
08XS,3,,21,
09AA,H1,,H1,
09AK,6,,24,
09AR,H1,,,
09AZ,6,,24,
09CA,H1,,,
09CL,1,26,19,
09CN,H2,,,
09CO,9,,27,
09FA,18,180,36,
09FD,18,,36,
09FL,9,,27,
09GA,9,,27,
09I,5,,23,
09I,8,,26,
09IA,9,,27,
09ID,9,,27,
09II,E,,W,
09IL,H1,,,
09IN,9,,27,
09IN,18,,36,
09IS,H1,,,
09KS,17,,35,
09KY,H1,,,
09LA,H1,,,
09LL,17,,35,
09LS,H1,,,
09MA,9,,27,
09MA,15,,33,
09ME,4,,22,
09MI,H1,,,
09MO,E,,W,
09N,2,,20,
09NC,16,,34,
09NE,18,,36,
09NJ,H1,,,
09NR,9,,27,
09NR,H1,,H1,
09NR,H2,,H2,
09NY,H1,,,
09OK,1,,19,
09OR,H1,,,
09PA,6,,24,
09S,16,,34,
09TA,17,,35,
09TE,16,,34,
09TN,H1,,,
09TS,9,90,27,
09TX,10,,28,
09TX,14,,32,
09TX,E,,W,
09VA,5,,23,
09VG,H1,,,
09W,H1,,,
09WA,H1,,,
09WI,N,,S,
09XS,H1,,,
09Y,17,,35,
0AA7,18,,36,
0AK,7,91,25,271
0AK0,8,,26,220.6
0AK1,06W,,24W,
0AK1,8,,26,
0AK2,3,,21,
0AK3,14,,32,
0AK5,2,,20,
0AK6,11,,29,
0AK7,6,,24,
0AK8,H1,,H1,
0AK9,17,,35,
0AL0,H1,,,
0AL1,17,,35,
0AL2,H1,,,
0AL3,H1,,,
0AL4,H1,,,
0AL5,15,,33,
0AL6,H1,,,
0AL7,H1,,,
0AL8,H1,,,
0AL9,9,,27,
0AR0,H1,,,
0AR2,18,,36,
0AR3,E,,W,
0AR4,H1,,,
0AR5,H1,,,
0AR6,H1,,,
0AR7,18,,36,
0AR8,H1,,,
0AR9,H1,,,
0AZ0,H1,,,
0AZ1,3,,21,
0AZ1,14,,32,
0AZ1,16,,34,
0AZ2,12,131,30,
0AZ2,17,183,35,
0AZ4,1,,19,
0AZ5,17,,35,
0AZ6,H1,,,
0AZ6,H2,,,
0AZ6,H3,,,
0AZ7,H1,,,
0B2,1,348,19,168
0B7,4,,22,
0C1,2,19,20,199
0C2,9,,27,
0C5,18,180,36,
0C7,18,,36,
0C8,18,,36,
0CA0,H1,,,
0CA1,8,94,26,274
0CA2,H1,,,
0CA3,10,,28,
0CA4,6,,24,
0CA5,11,,29,
0CA6,4,,22,
0CA7,H1,,,
0CA8,12,,30,
0CA9,16,173,34,
0CD0,H1,,,
0CD1,H1,,,
0CD2,8,,26,
0CD2,17,,35,
0CD4,H1,,,
0CD5,4,,22,
0CD6,H1,,,
0CD7,6,,24,
0CD8,H1,,,
0CD9,H1,,,
0CL0,17,,35,
0CL1,7,,25,
0CL1,16,,34,
0CL2,H1,,,
0CL3,5,,23,
0CL3,9,,27,
0CL4,H1,,,
0CL5,H1,,,
0CL6,9,,27,
0CL7,H1,,,
0CL8,6,,24,
0CL8,H1,,,
0CL9,H1,,,
0CO0,H1,,,
0CO1,N,,S,
0CO2,11,121.1,29,
0CO3,18,,36,
0CO4,H1,,,
0CO6,2,,20,
0CO6,10,,28,
0CO7,H1,,,
0CO8,17,,35,
0CO9,E,,W,
0CT0,H1,,,
0CT1,H1,,,
0CT2,H1,,,
0CT3,H1,,,
0CT5,H1,,,
0CT6,H1,,,
0CT7,H1,,,
0CT8,H1,,,
0CT9,H1,,,
0D7,9,,27,
0.00E+00,9,,27,
0.00E+00,11W,,29W,
0FA0,H1,,,
0FA1,9,,27,
0FA2,H2,,,
0FA3,H1,,,
0FA6,H1,,,
0FD0,9,,27,
0FD1,H1,,,
0FD2,H1,,,
0FD3,8,,26,
0FD3,13,,31,
0FD5,9,,27,
0FD6,02W,,20W,
0FD9,4,,22,
0FL0,14,,32,
0FL1,9,,27,
0FL2,5,,23,
0FL3,H1,,,
0FL4,H1,,,
0FL5,ALL,,WAY,
0FL6,18,,36,
0FL7,H1,,,
0FL8,9,,27,
0FL9,9,,27,
0FL9,17,,35,
0G0,10,91,28,271
0G5,3,,21,
0G5,9,,27,
0GA0,1,,19,
0GA1,13,,31,
0GA2,8,,26,
0GA3,18,,36,
0GA5,H1,,,
0GA6,15,,33,
0GA8,3,,21,
0GA9,7,,25,
0GE0,2,,20,
0GE1,4,,22,
0GE3,6,,24,
0GE4,9,,27,
0GE4,18,,36,
0GE5,N,,S,
0GE7,1,,19,
0GE9,3,,21,
0H7,10,,28,
0I2,9,91,27,271
0IA0,H1,,,
0IA1,H1,,,
0IA2,H1,,,
0IA4,9,,27,
0IA5,17,,35,
0IA6,18,,36,
0IA7,H1,,,
0IA7,H2,,,
0IA8,18,,36,
0IA9,H1,,,
0ID0,7,,25,
0ID1,10,,28,
0ID2,11,110,29,
0ID3,7,,25,
0ID4,4,,22,
0ID5,5,,23,
0ID6,H1,,,
0ID7,2,,20,
0ID8,9,,27,
0ID9,6,,24,
0II0,E,,W,
0II1,9,,27,
0II2,9,,27,
0II3,9,,27,
0II6,6,,24,
0II7,N,,S,
0II8,1,,19,
0II9,18,,36,
0IL0,H1,,,
0IL1,H1,,,
0IL2,18,,36,
0IL3,18,,36,
0IL4,H1,,,
0IL6,H1,,,
0IL6,H2,,,
0IL8,N,,S,
0IL9,E,,W,
0IN1,15,,33,
0IN2,9,,27,
0IN2,18,,36,
0IN3,E,,W,
0IN4,NW,,SE,
0IN5,9,,27,
0IN7,H1,,,
0IN8,H1,,,
0IN9,E,,W,
0IS0,H1,,,
0IS2,H1,,,220
0IS3,18,,36,
0IS4,18,,36,
0IS6,H1,,,
0IS9,H1,,,
0J0,17,,35,
0J8,18,,36,
0JY9,H1,,,
0K6,17,,35,
0KS0,17,,35,
0KS2,17,,35,
0KS4,18,,36,
0KS6,E,,W,
0KS7,18,,36,
0KS8,17,,35,
0KS9,5,,23,
0KY0,13,,31,
0KY1,10,98,28,
0KY2,H1,,,
0KY3,H1,,,
0KY4,18,,36,
0KY5,7,,25,
0KY6,H1,,,
0KY7,N,,S,
0KY8,12,,30,
0L4,18,,36,
0L6,H1,,,
0LA0,H1,,,
0LA1,17,,35,
0LA3,9,,27,
0LA4,H1,,,
0LA5,H1,,,
0LA7,H1,,,
0LA8,H1,,,
0LA9,17,,35,
0LL0,9,,27,
0LL1,18,,36,
0LL2,E,,W,
0LL3,6,,24,
0LL4,9,,27,
0LL5,E,,W,
0LL6,E,,W,
0LL7,H1,,,
0LL9,H1,,,
0LS0,2,,20,
0LS3,H1,,,
0LS4,4,,22,
0LS5,18,,36,
0LS7,4,,22,
0LS8,18,,36,
0LS9,18,,36,
0MA1,H1,,,
0MA2,H1,,,
0MA3,H1,,,
0MA4,H1,,,
0MA5,H1,,,
0MA6,H1,,,
0MA9,H1,,,
0MD0,H1,,,
0MD1,8,,26,
0MD2,12,,30,
0MD2,H1,,,
0MD3,H1,,,260
0MD4,18,,36,320
0MD5,H1,,,
0MD6,5,,23,
0MD7,H1,,,
0MD9,H1,,,
0ME4,16,,34,
0ME7,17W,,35W,
0MI1,E,,W,
0MI3,4,,22,
0MI3,13,,31,
0MI3,18,,36,
0MI4,N,,S,
0MI6,18,,36,
0MI7,H1,,,
0MI8,17,170,35,350
0MI8,4,36,22,216
0MI9,H1,,,
0MN0,9,,27,
0MN2,1,,19,
0MN3,6,,24,
0MN3,15,,33,
0MN4,12W,,30W,
0MN5,N,,S,
0MN6,E,,W,
0MN7,H1,,,
0MN8,E,,W,
0MN9,H1,,,
0MO0,12,,30,
0MO1,8,,26,
0MO2,1,,19,
0MO4,H1,,,
0MO5,N,,S,
0MO7,H1,,,
0MO8,17,,35,
0MO9,H1,,,
0MS0,4,40,22,310.3
0MS2,18,,36,
0MS3,H1,,,
0MS5,18,,36,
0MS6,H1,,,
0MS7,E,,W,
0MS8,18,,36,
0MS9,12,,30,
0MT1,3,,21,
0MT2,H1,,,
0MT3,H1,,,
0MT4,NE,,SW,
0MT5,17,,35,
0MT6,8,,26,
0MT7,14,,32,
0MT8,H1,,,
0MT9,12,,30,
0MU1,9,,27,
0MU2,H1,,,
0MU3,H1,,,
0MU4,11,,29,
0MU5,H1,,,
0MU6,H1,,,
0MU7,18,,36,
0MU8,16,,34,
0MY0,H1,,,
0MY1,H1,,,
0N0,18,,36,
0N4,4,,22,
0N5,H1,,,
0N6,15,,33,
0NA1,8,,26,
0NA5,17,,35,
0NA9,13,,31,
0NC0,H1,,,
0NC2,H1,,,
0NC3,H1,,,
0NC4,H1,,,
0NC5,H1,,,
0NC6,H1,,,
0NC7,3,,21,
0NC8,3,,21,
0NC9,H1,,,
0ND0,17,,35,
0ND6,8,,26,
0ND7,N,,S,
0NE0,NE,,SW,
0NE0,NW,,SE,
0NE1,E,,W,
0NE2,N,,S,
0NE3,H1,,,
0NE4,H1,,,
0NE6,17,175.9,35,
0NJ0,H1,,,
0NJ1,H1,,,
0NJ2,H1,,,
0NJ3,H1,,,
0NJ4,H1,,,
0NJ6,E,,W,
0NJ7,H1,,,
0NJ8,H1,,,
0NJ9,H1,,,
0NK0,11,,29,
0NK1,18,,36,
0NK2,10,,28,
0NK3,16,,34,
0NK4,H1,,,
0NK5,H1,,,
0NK7,H1,,,
0NK8,4,,22,
0NK9,9,,27,
0NM0,8,,26,
0NM7,3,,21,
0NM7,17,,35,
0NV1,H1,,,
0NY0,NW,,SE,
0NY1,3,,21,
0NY3,13,,31,
0NY4,H1,,,
0NY5,H1,,,
0NY6,H1,,,
0NY7,4,,22,
0NY8,9,,27,
0O0,ALL,,WAY,
0O4,16,180,34,360
0O9,6,,24,
0OH1,H1,,,
0OH2,18,,36,
0OH3,H1,,,
0OH6,4,,22,
0OH7,9,,27,
0OH7,18,,36,
0OH8,3,24.8,21,
0OH9,6,,24,
0OI0,H1,,,
0OI1,H1,,,
0OI2,14,,32,
0OI3,9,,27,
0OI4,17,,35,
0OI6,18,,36,
0OI9,10,,28,
0OK0,18,,36,
0OK1,N,,S,
0OK2,H1,,,
0OK3,16,170.4,34,
0OK4,4,,22,
0OK5,N,,S,
0OK6,18,,36,
0OK7,H1,,,
0OK8,17,,35,
0OK9,1,,19,
0OK9,9,,27,
0OR0,H1,,,
0OR2,H1,,,
0OR3,10,,28,
0OR4,H1,,,
0OR5,9,,27,
0OR6,16,,34,
0OR7,16,,34,
0OR8,7,,25,
0OR9,16,,34,
0P1,16,,34,
0P2,06U,,24U,
0P2,15,,33,
0PA0,1,,19,
0PA0,7,,25,
0PA0,13,,31,
0PA1,H1,,,
0PA2,11,,29,
0PA3,17,,35,
0PA4,18,,36,
0PA5,10,,28,
0PA6,NE,,SW,
0PA7,4,,22,
0PA8,H1,,,
0PA9,H1,,,
0PN0,4,,22,
0PN1,6,,24,
0PN3,H1,,,
0PN4,7,,25,
0PN5,E,,W,
0PN6,NE,,SW,
0PN7,13,,31,
0PN8,NE,,SW,
0PN9,NW,,SE,
0PS0,1,,19,
0PS1,H1,,,
0PS2,H1,,,
0PS3,6,,24,
0PS4,6,,24,
0PS5,H1,,,
0PS6,H1,,,
0PS7,8,,26,
0PS8,H1,,,
0PS9,H1,,,
0Q3,7,,25,
0Q3,17,,35,
0Q4,10,,28,
0Q9,8,,26,
0R2,18,,36,
0R7,17,180,35,
0R9,17,,35,
0S1,17,,35,
0S2,17,,35,
0S5,15,,33,
0SD0,15,,33,
0SD1,8,,26,
0SD2,H1,,,
0SD3,9,,27,
0SD4,H1,,,
0SD5,H1,,,
0SD7,NW,,SE,
0SD9,H1,,,
0T3,12,,30,
0T7,18,,36,
0TA0,H1,,,
0TA1,N,,S,
0TA2,E,,W,
0TA2,N,,S,
0TA3,7,,25,
0TA3,14,,32,
0TA4,15,,33,
0TA5,H1,,,
0TA6,H1,,,
0TA6,H2,,,
0TA6,H3,,,
0TA7,5,58.5,23,
0TA7,12,128.5,30,
0TA7,15,158.5,33,
0TA8,N,,S,
0TA9,H1,,,
0TE0,3,,21,
0TE0,13,,31,
0TE1,H1,,,
0TE2,H1,,,
0TE3,17,,35,
0TE4,16,164.6,34,
0TE5,17,170,35,
0TE6,16,,34,
0TE7,17,175,35,355
0TE8,H1,,,
0TE9,H1,,,
0TN0,17,,35,
0TN1,03W,,21W,
0TN1,09W,,27W,
0TN1,13W,,31W,
0TN2,5,,23,
0TN3,H1,,,
0TN4,H1,,,
0TN5,9,,27,
0TN6,8,,26,
0TN7,H1,,,
0TN8,H1,,,
0TN9,H1,,,
0TS1,17,,35,
0TS2,1,,19,
0TS2,9,,27,
0TS2,13,,31,
0TS3,H1,,,
0TS4,18,,36,
0TS5,5,,23,
0TS6,H1,,,
0TS7,18,,36,
0TS8,ALL,,WAY,
0TS9,4,,22,
0TX0,14,,32,
0TX1,18,185.4,36,
0TX2,H1,,,
0TX3,H1,,,
0TX4,H1,,,
0TX5,17,,35,
0TX6,14,,32,
0TX7,NE,,SW,
0TX8,17,,35,
0TX9,9,,27,
0TX9,18,,36,
0U0,16,,34,
0U1,2,,20,
0U2,12,,30,
0U3,3,,21,
0U7,5,,23,
0U8,9,,27,
0U9,8,,26,
0VA1,14,,32,
0VA2,14,,32,
0VA3,4,,22,
0VA4,17,,35,
0VA5,4,30,22,
0VA6,H1,,,
0VA8,14,,32,
0VA9,2,,20,
0VI1,5,,23,
0W0,18W,,36W,
0W7,12,,30,
0WA0,H1,,,
0WA1,16,,34,
0WA2,N,,S,
0WA3,H1,,,
0WA4,H1,,,
0WA5,H1,,,
0WA5,H2,,,
0WA6,H1,,,
0WA7,H1,,,
0WA8,H1,,,
0WA9,H1,,,
0WI0,H1,,,
0WI1,03W,,21W,
0WI1,4,39.3,22,
0WI2,3,,21,
0WI3,H1,,,
0WI4,8,82.8,26,
0WI5,9,,27,
0WI6,E,,W,
0WI7,9,,27,
0WI7,18,,36,
0WI8,9,,27,
0WI8,18,,36,
0WI9,18,,36,
0WN0,9,,27,
0WN1,12,,30,
0WN2,7,,25,206.5
0WN4,H1,,,
0WN5,10U,,28U,
0WN6,H1,,,
0WN7,H1,,,
0WN8,H1,,,
0WN9,16,,34,352.1
0WS7,18,,36,
0WS7,9,,27,
0WY0,18,,36,189.9
0WY1,6,,24,196.9
0XA0,H1,,,
0XA0,H2,,,
0XA1,H1,,,
0XA2,H1,,,
0XA3,H1,,,
0XA3,H2,,,
0XA4,15,156,33,336
0XA5,13,136,31,
0XA6,H1,,,
0XA7,10,,28,
0XA7,H1,,,
0XA8,11,,29,
0XA8,14,,32,
0XA8,H1,,,
0XA9,H1,,,
0XS0,8,,26,
0XS0,15,,33,
0XS1,14,,32,
0XS2,4,,22,
0XS3,H1,,,
0XS4,H1,,,
0XS5,H1,,,
0XS6,17,,35,
0XS7,13,140,31,
0XS8,12,,30,
0XS9,17,,35,
0Y4,17,,35,
0Y6,18,,36,
0Z2,16,,34,
0Z3,NE,,SW,
10AK,7,,25,
10AL,H1,,,
10AZ,8,90,26,
10CA,H1,,,
10CL,E,,W,
10CN,H1,,H1,
10D,9,,27,
10F,18,,36,
10FA,11,,29,
10FD,1,,19,
10FL,H1,,,
10GA,15,,33,
10IA,17,,35,
10ID,NE,,SW,
10II,H1,,,
10IL,H1,,,
10IN,18,,36,
10IN,H1,,,
10KS,H1,,,
10KY,H1,,,
10LA,18,,36,
10LA,H1,,,
10MA,1,,19,
10MI,H1,,,
10MN,01W,,19W,
10MN,11W,,29W,
10MS,H1,,,
10MT,E,,W,
10MT,N,,S,
10MT,NW,,SE,
10MU,H1,,,
10NC,13,,31,
10ND,9,,27,
10ND,18,,36,
10NE,H1,,,
10NH,H1,,,
10NJ,H1,,,
10NK,H1,,,
10NY,H1,,,
10OH,16,,34,
10OK,17,,35,
10OR,2,,20,
10PA,H1,,,
10PN,H1,,,
10TA,H1,,,
10TE,14,,32,
10TN,5,,23,
10TS,16,,34,
10TX,H1,,,
10UT,H1,,,
10VA,5,,23,
10VG,H1,,H1,
10WA,N,,S,
10WI,18,,36,
10WY,5,,23,290
10XA,14,,32,
10XS,17,,35,
11AK,8,,26,
11AK,15,,33,
11AL,H1,,,
11AL,H2,,,
11AL,H3,,,
11AL,H4,,,
11AL,H5,,,
11AR,H1,,,
11AZ,8,,26,
11CA,7,,25,
11CL,7,,25,
11FA,18,,36,
11FD,H1,,,
11FL,18,,36,
11G,7,,25,
11GA,H1,,,
11GE,H1,,,
11IA,18,,36,
11II,18,176.9,36,
11IL,H1,,,
11IN,E,,W,
11IS,H1,,,
11KS,4,,22,
11KS,18,,36,
11KY,H1,,,
11LA,3,,21,
11LA,18,,36,
11LA,H1,,,
11LL,N,,S,
11LS,7,70.3,25,
